image,dice_people,iou_people,dice_vehicles,iou_vehicles
0001TP_009030,0.006688087933816869,0.0033552641176384074,0.20998206918161985,0.1173072434451078
0001TP_009060,0.02660494912208694,0.013481816076436939,0.18190479538742474,0.10005240370577156
0001TP_009270,0.066286460649802,0.03427935901616368,0.32367312990590524,0.1930847352507909
0001TP_009300,0.045951814152807746,0.023516213410512694,0.0,0.0
0001TP_009870,0.031119985087619245,0.015805932739382366,0.20174070348048026,0.1121866595495676
0001TP_009900,0.03745788465349732,0.01908641061029349,0.212807852600874,0.11907385163401153
0001TP_009930,0.0412157529706319,0.021041497057748167,0.1041107532653407,0.05491394259693884
0001TP_009960,0.015222282507654485,0.007669515015962079,0.0876563116361829,0.045837111900727846
0006R0_f01050,0.0,0.0,0.02744333888726682,0.013912573173835138
0006R0_f01080,0.0,0.0,0.015112397062096033,0.007613729381818713
0006R0_f01290,0.0,0.0,0.0026184224723950025,0.001310927517232903
0006R0_f01320,0.0,0.0,0.005292800765600572,0.0026534224008576465
0006R0_f01890,0.0,0.0,0.08214773280837309,0.042833191176223744
0006R0_f01920,0.0,0.0,0.08266889456640641,0.04311665018740272
0006R0_f01950,0.0,0.0,0.10795866569977987,0.057059358980499686
0006R0_f01980,0.0,0.0,0.11785610705575988,0.06261801103389467
0006R0_f02550,0.010051764208746828,0.005051269187788695,0.3689168780098525,0.2261790788195532
0006R0_f02580,0.019107710046944983,0.009646011620045133,0.3795720198386967,0.23424183270453816
0006R0_f02790,0.01704491350579219,0.008595713348166133,0.19714134462678212,0.10934930702372284
0006R0_f02820,0.024132647025647838,0.012213697943498079,0.18586638327280383,0.10245462713386996
0006R0_f03390,0.021648028630966393,0.010942455611670458,0.15901829005583115,0.08637689836725955
0006R0_f03420,0.011144291973216211,0.005603368775441668,0.2573754380759835,0.14769414118197527
0006R0_f03450,0.0,0.0,0.32919592719934593,0.19702844430318955
0006R0_f03480,0.0,0.0,0.28632473502898204,0.1670822593298179
0016E5_00480,0.0031670085411783424,0.0015860157332760355,0.02860862619473345,0.0145118957985049
0016E5_00510,0.0008038440811927249,0.00040208364687620534,0.040572323036866684,0.020706211060440204
0016E5_00720,0.018105461493550697,0.00913543134701553,0.006894271028927719,0.0034590593608332266
0016E5_00750,0.0,0.0,0.005515099047715906,0.0027651746298418575
0016E5_01320,0.0,0.0,0.17515905128880835,0.09598592765715598
0016E5_01350,0.012235452923877344,0.006155383413933471,0.17581244627100262,0.09637849239328898
0016E5_01380,0.0,0.0,0.12955196241490613,0.0692625295178842
0016E5_01410,0.0075942389099836844,0.003811592527131113,0.1912296622636533,0.10572357268030767
0016E5_01980,0.005094813746783954,0.002553912728229913,0.06767577256970038,0.035022990246155
0016E5_02010,0.008631382742151215,0.004334397292067798,0.04639457837826071,0.02374818264977344
0016E5_02220,0.014787028731413946,0.007448585590272853,0.06288994366473347,0.03246585988186556
0016E5_02250,0.07060886804681692,0.036596451013712984,0.08413518224819591,0.04391498892230059
0016E5_04740,0.0,0.0,0.06032337530793074,0.031099707312040894
0016E5_04770,0.007029317031158816,0.0035270549091507707,0.01723909088779723,0.008694487978137601
0016E5_04800,0.01497357838944065,0.007543264022295368,0.021944851400247982,0.011094155497020673
0016E5_04830,0.013788638467427682,0.006942180844634927,0.07510973084159872,0.03902026626922382
0016E5_05400,0.00777136145639605,0.003900838139781594,0.15743792793878955,0.08544511488976281
0016E5_05430,0.010157518998322346,0.005104684966424627,0.12074565692012817,0.06425189722974942
0016E5_05640,0.009866077629273624,0.004957494326573138,0.05238597813795604,0.026897515395720804
0016E5_05670,0.0,0.0,0.05625613257259047,0.028942153086788526
0016E5_06240,0.0,0.0,0.3323898126823999,0.19932104949362217
0016E5_06270,0.0,0.0,0.29472697445511575,0.1728327194766609
0016E5_06300,0.0,0.0,0.27200694900531286,0.15741206184176326
0016E5_06330,0.0,0.0,0.2745628735157448,0.15912655946797274
0016E5_06900,0.05883011922861369,0.030306527940375652,0.04592533773121897,0.02350234544154894
0016E5_06930,0.05596464170746487,0.028787872334080974,0.011311119327109388,0.005687726942628738
0016E5_07140,0.019876721649401123,0.010038123316219996,0.006171443665565262,0.0030952729842084253
0016E5_07170,0.012624616690215426,0.006352406694899445,0.009163532544540885,0.004602855480266061
0016E5_07740,0.0715411528924204,0.037097578203300625,0.04204686823262637,0.021474910481984917
0016E5_07770,0.021689964724861222,0.010963885507381876,0.1799635479734036,0.09887908990669698
0016E5_07800,0.05716575246608321,0.029423895805133653,0.09292530749623323,0.048726621910247854
0016E5_07830,0.021563575173905454,0.010899301541014086,0.026545146281530388,0.013451103901116798
0016E5_07989,0.014325962245303274,0.007214659593123538,0.049743164469958814,0.025505955709899927
0016E5_07991,0.01451382364724525,0.007309959555551511,0.052372647436468724,0.026890486708113913
0016E5_08005,0.01545535417626793,0.007787859148844102,0.0684841259882031,0.0354561548831386
0016E5_08007,0.016325185826161277,0.008229769168572315,0.0670549020572015,0.03469053628505378
0016E5_08045,0.012216992345361817,0.006146039229793248,0.15137568590399808,0.0818855863518286
0016E5_08047,0.011734640160034998,0.00590194870214885,0.1494983572300732,0.08078801648957
0016E5_08049,0.013072248793664823,0.006579126385309275,0.15806684458799053,0.08581573339051689
0016E5_08051,0.014656239667196962,0.00738221760887401,0.1521009236102571,0.08231018974662731
0016E5_08089,0.03411938494362155,0.017355776684660505,0.05127116620411798,0.026310056748248604
0016E5_08091,0.0379402672680277,0.019336958317369708,0.054115395986241537,0.027810177373631614
0016E5_08105,0.035018001736135194,0.017821029285293662,0.06646835898630078,0.03437665956759476
0016E5_08107,0.019667739985095058,0.009931535420701083,0.06773669204053777,0.03505562195458242
0016E5_08145,0.0016440319791928054,0.0008226922557851752,0.042305073203948856,0.02160963520153011
0016E5_08147,0.0015553201579303784,0.0007782653048235942,0.045055458198171486,0.023046923958592133
0016E5_08149,0.001610048466869915,0.0008056728195789384,0.047513349832993275,0.02433478857790357
0016E5_08151,0.0021759830911802567,0.001089176560479585,0.05039758955849406,0.025850188371013067
0016E5_08610,0.04187355180403759,0.021384498351787254,0.006513886696442515,0.003267585689698062
0016E5_08640,0.02792679898594944,0.014161137107684102,0.010225005472289826,0.005138774736043367
Seq05VD_f00180,0.0005388480897426891,0.0002694966537498771,0.022848208109542197,0.011556122399533034
Seq05VD_f00210,0.009156230678993266,0.0045991708742248874,0.057588079733840294,0.02964771742440155
Seq05VD_f00780,0.010038943425189592,0.005044793912936652,0.003002753753903248,0.0015036343988694756
Seq05VD_f00810,0.029626228158375432,0.01503584171783055,0.003840927620255371,0.0019241590880211584
Seq05VD_f00840,0.00796389375774845,0.003997866169590382,0.004779889059364948,0.0023956700482091154
Seq05VD_f00870,0.007719790861702332,0.003874851954204424,0.005022512646140381,0.0025175786082690323
Seq05VD_f01440,0.0,0.0,0.05533302436440563,0.028453727583007165
Seq05VD_f01470,0.033962938239800795,0.01727482095855999,0.08985232227156928,0.04703946365991067
Seq05VD_f01680,0.0036594911545613784,0.0018330996833189567,0.0019069535042562215,0.0009543867376950423
Seq05VD_f01710,0.005665466270887497,0.002840780307952602,0.0022105796198192045,0.0011065128272621093
Seq05VD_f02280,0.022251287291084217,0.011250816217499494,0.004448093353176141,0.0022290040857170105
Seq05VD_f02310,0.011947009006206507,0.0060094016911663925,0.0031286125390460897,0.0015667571575674478
Seq05VD_f02340,0.010682655071360538,0.005370010520741599,0.008357653300575797,0.004196362521828385
Seq05VD_f02370,0.009151302563289335,0.004596684105161767,0.031167522055993737,0.015830459119884625
